"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что курьер может авторизоваться с корректными логином и паролем","247","Успешная авторизация курьера","tests","2026-02-06","passed","2026-02-06","TestLoginCourier","test_login_courier","",""
"Если передан неверный id курьера, API возвращает 404 с сообщением","200","Ошибка при неверном courierId","tests","2026-02-06","passed","2026-02-06","TestAcceptOrders","test_accept_orders","",""
"Проверка, что без логина или пароля авторизация невозможна","170","Ошибка авторизации при отсутствии обязательного поля","tests","2026-02-06","passed","2026-02-06","TestLoginCourier","test_login_courier","",""
"Проверка, что при передаче неверных логина или пароля возвращается ошибка","352","Ошибка авторизации при неверных логине или пароле","tests","2026-02-06","passed","2026-02-06","TestLoginCourier","test_login_courier","",""
"Если передан неверный id заказа, API возвращает 404 с сообщением","184","Ошибка при неверном orderId","tests","2026-02-06","passed","2026-02-06","TestAcceptOrders","test_accept_orders","",""
"Заказ можно успешно принять при валидном orderId и courierId","201","Успешное принятие заказа","tests","2026-02-06","passed","2026-02-06","TestAcceptOrders","test_accept_orders","",""
"Проверка, что курьер создаётся при передаче всех обязательных полей","210","Успешное создание курьера","tests","2026-02-06","passed","2026-02-06","TestCreateCourier","test_create_courier","",""
"Проверка, что без login или password курьер не создаётся","179","Ошибка при отсутствии обязательного поля","tests","2026-02-06","passed","2026-02-06","TestCreateCourier","test_create_courier","",""
"Проверка, что без login или password курьер не создаётся","156","Ошибка при отсутствии обязательного поля","tests","2026-02-06","passed","2026-02-06","TestCreateCourier","test_create_courier","",""
"Проверка, что авторизация под несуществующим пользователем возвращает ошибку","652","Ошибка авторизации несуществующего курьера","tests","2026-02-06","passed","2026-02-06","TestLoginCourier","test_login_courier","",""
"Проверка, что при передаче несуществующего id возвращается ошибка","164","Ошибка при удалении несуществующего курьера","tests","2026-02-06","passed","2026-02-06","TestDeleteCourier","test_delete_courier","",""
"Проверка ошибки при создании курьера с уже существующим логином","185","Нельзя создать двух одинаковых курьеров","tests","2026-02-06","passed","2026-02-06","TestCreateCourier","test_create_courier","",""
"Проверка, что API возвращает список заказов","10943","Получение списка заказов","tests","2026-02-06","passed","2026-02-06","TestGetOrders","test_get_orders","",""
"Проверка, что без логина или пароля авторизация невозможна","183","Ошибка авторизации при отсутствии обязательного поля","tests","2026-02-06","passed","2026-02-06","TestLoginCourier","test_login_courier","",""
"Проверка, что запрос без track возвращает ошибку","156","Ошибка при запросе заказа без номера","tests","2026-02-06","passed","2026-02-06","TestGetTrack","test_get_track","",""
"Проверка, что заказ можно создать с одним цветом, двумя цветами или без указания цвета. В ответе должен возвращаться track.","199","Создание заказа с разными вариантами цвета","tests","2026-02-06","passed","2026-02-06","TestCreateOrder","test_create_order","",""
"Проверка, что заказ можно создать с одним цветом, двумя цветами или без указания цвета. В ответе должен возвращаться track.","201","Создание заказа с разными вариантами цвета","tests","2026-02-06","passed","2026-02-06","TestCreateOrder","test_create_order","",""
"Если не передан id курьера, API возвращает 400 с сообщением об ошибке","189","Ошибка принятия заказа при отсутствие courierId","tests","2026-02-06","passed","2026-02-06","TestAcceptOrders","test_accept_orders","",""
"Проверка, что курьер успешно удаляется при передаче корректного id","188","Успешное удаление курьера","tests","2026-02-06","passed","2026-02-06","TestDeleteCourier","test_delete_courier","",""
"Проверка, что заказ можно создать с одним цветом, двумя цветами или без указания цвета. В ответе должен возвращаться track.","178","Создание заказа с разными вариантами цвета","tests","2026-02-06","passed","2026-02-06","TestCreateOrder","test_create_order","",""
"Проверка, что запрос на удаление курьера без id возвращает ошибку","264","Ошибка при удалении курьера без id","tests","2026-02-06","passed","2026-02-06","TestDeleteCourier","test_delete_courier","",""
"Проверка, что заказ можно создать с одним цветом, двумя цветами или без указания цвета. В ответе должен возвращаться track.","176","Создание заказа с разными вариантами цвета","tests","2026-02-06","passed","2026-02-06","TestCreateOrder","test_create_order","",""
"Проверка, что при запросе с несуществующим track возвращается ошибка","241","Ошибка при запросе несуществующего заказа","tests","2026-02-06","passed","2026-02-06","TestGetTrack","test_get_track","",""
"Проверка, что по корректному track возвращается заказ","255","Успешное получение заказа по его номеру","tests","2026-02-06","passed","2026-02-06","TestGetTrack","test_get_track","",""
"Если не передан id заказа, но передан courierId, API возвращает 400 с сообщением","170","Ошибка при отсутствии orderId","tests","2026-02-06","passed","2026-02-06","TestAcceptOrders","test_accept_orders","",""
